,BALANCE,Cluster Number,,,,,,
85,134.917202,13,,,,,,
86,7069.950386,8,,,,,,
87,8181.251131,8,,,,,,
88,4037.305658,10,,,,,,
89,6110.265264,8,,,,,,
90,9381.255094,10,,,,,,
91,1977.00709,14,,,,,,
92,1321.47608,7,,,,,,
93,1307.717841,7,,,,,,
94,2329.485768,18,,,,,,
95,1139.782882,6,,,,,,
96,1619.955708,19,,,,,,
97,3505.671311,3,,,,,,
98,4.708041,16,,,,,,
99,0,16,,,,,,
100,4.875885,16,,,,,,
101,23.394411,16,,,,,,
102,3539.801912,3,,,,,,
103,0.62424,16,,,,,,
104,862.07238,11,,,,,,
105,2441.542991,2,,,,,,
106,408.656365,5,,,,,,
107,4986.400804,10,,,,,,
108,1246.624558,6,,,,,,
109,6644.201651,5,,,,,,
110,156.216753,13,,,,,,
111,3393.351236,3,,,,,,
112,5322.994094,8,,,,,,
113,6458.56209,3,,,,,,
114,175.341651,17,,,,,,
115,680.195157,12,,,,,,
116,223.763616,17,,,,,,
117,1785.626943,4,,,,,,
118,54.933231,16,,,,,,
119,2662.629852,8,,,,,,
120,8504.876253,10,,,,,,
121,1464.324632,19,,,,,,
122,2114.158683,18,,,,,,
123,2876.396444,8,,,,,,
124,14224.11541,1,,,,,,
125,2392.917738,2,,,,,,
126,57.453201,16,,,,,,
127,4245.855092,10,,,,,,
128,11167.23403,18,,,,,,
129,69.405545,13,,,,,,
130,116.654149,13,,,,,,
131,4637.848144,9,,,,,,
132,24.28497,16,,,,,,
133,9354.06045,2,,,,,,
134,231.108995,17,,,,,,
135,1562.633343,19,,,,,,
136,2494.868559,2,,,,,,
137,706.132889,12,,,,,,
138,19043.13856,19,,,,,,
139,2235.103331,18,,,,,,
140,947.13081,0,,,,,,
141,764.042156,12,,,,,,
142,5347.814547,10,,,,,,
143,10598.46777,14,,,,,,
144,2163.678757,18,,,,,,
145,3057.400553,1,,,,,,
146,19.354559,16,,,,,,
147,264.811595,17,,,,,,
148,1108.22253,6,,,,,,
149,906.573724,11,,,,,,
150,7679.62904,8,,,,,,
151,1523.911458,19,,,,,,
152,49.206256,16,,,,,,
153,13673.07961,10,,,,,,
154,106.455975,13,,,,,,
155,119.760904,13,,,,,,
156,5837.105453,8,,,,,,
157,1734.510004,4,,,,,,
158,2765.748281,8,,,,,,
159,1046.37041,0,,,,,,
160,2737.367678,8,,,,,,
161,4014.818167,10,,,,,,
162,871.568977,11,,,,,,
163,1610.040203,19,,,,,,
164,114.593817,13,,,,,,
165,5800.587339,18,,,,,,
166,823.103926,11,,,,,,
167,595.677343,12,,,,,,
168,1128.124563,6,,,,,,
169,349.441102,5,,,,,,
170,840.804076,11,,,,,,
171,975.942008,0,,,,,,
172,23.111088,16,,,,,,
173,2187.732265,18,,,,,,
174,11972.01104,1,,,,,,
175,1608.451822,19,,,,,,
176,1872.926275,14,,,,,,
177,2933.240476,8,,,,,,
178,336.799916,5,,,,,,
179,36.236312,16,,,,,,
180,903.29781,11,,,,,,
181,0,16,,,,,,
182,2881.253586,8,,,,,,
183,5.465999,16,,,,,,
184,117.442684,13,,,,,,
185,168.522709,17,,,,,,
186,1706.014379,4,,,,,,
187,874.583247,11,,,,,,
188,861.001207,11,,,,,,
189,966.251742,0,,,,,,
190,38.615644,16,,,,,,
191,189.687964,17,,,,,,
192,40.417255,16,,,,,,
193,5462.897068,1,,,,,,
194,3983.923705,10,,,,,,
195,5588.846272,2,,,,,,
196,281.170378,17,,,,,,
197,130.251538,13,,,,,,
198,1973.814964,14,,,,,,
199,5698.539876,8,,,,,,
200,43.103899,16,,,,,,
201,566.546048,15,,,,,,
202,24.527253,16,,,,,,
203,8350.145568,9,,,,,,
204,4559.779234,9,,,,,,
205,2.67713,16,,,,,,
206,1570.682346,19,,,,,,
207,7201.736985,18,,,,,,
208,6467.885013,18,,,,,,
209,64.080909,16,,,,,,
210,5635.860679,10,,,,,,
211,3670.50596,3,,,,,,
212,2458.376257,2,,,,,,
213,768.004936,11,,,,,,
214,75.647479,13,,,,,,
215,2.433254,16,,,,,,
216,1121.730896,6,,,,,,
217,7.56809,16,,,,,,
218,2053.441598,14,,,,,,
219,2422.311938,2,,,,,,
220,9047.621884,7,,,,,,
221,3061.213971,1,,,,,,
222,41.642389,16,,,,,,
223,5431.622968,3,,,,,,
224,6571.484039,0,,,,,,
225,28.461629,16,,,,,,
226,4178.625215,10,,,,,,
227,3019.019487,1,,,,,,
228,1.045584,16,,,,,,
229,2723.369217,8,,,,,,
230,1070.999446,0,,,,,,
231,279.608696,17,,,,,,
232,1255.901821,6,,,,,,
233,2229.857287,18,,,,,,
234,2363.489077,2,,,,,,
235,4014.388265,10,,,,,,
236,7623.224897,3,,,,,,
237,3421.571922,3,,,,,,
238,48.898611,16,,,,,,
239,1874.716289,14,,,,,,
240,3215.511032,1,,,,,,
241,237.235398,17,,,,,,
242,1272.927288,7,,,,,,
243,558.476701,15,,,,,,
244,2814.207626,8,,,,,,
245,8.061012,16,,,,,,
246,435.862142,15,,,,,,
247,6.390383,16,,,,,,
248,9612.21512,7,,,,,,
249,7938.559134,2,,,,,,
250,2344.478291,2,,,,,,
251,996.48222,0,,,,,,
252,19.508047,16,,,,,,
253,185.640313,17,,,,,,
254,5335.302925,1,,,,,,
255,22.189283,16,,,,,,
256,5.871769,16,,,,,,
257,1049.496471,0,,,,,,
258,5570.190127,19,,,,,,
259,1668.591831,4,,,,,,
260,2224.590946,18,,,,,,
261,2903.781184,8,,,,,,
262,2041.480046,14,,,,,,
263,7755.698607,18,,,,,,
264,614.263149,12,,,,,,
265,8097.334733,11,,,,,,
266,1082.33027,0,,,,,,
267,2734.66412,8,,,,,,
268,80.708806,13,,,,,,
269,2554.525229,2,,,,,,
270,535.947221,15,,,,,,
271,3905.365959,10,,,,,,
272,156.278339,13,,,,,,
273,5131.319584,12,,,,,,
274,5265.763713,2,,,,,,
275,2.564117,16,,,,,,
276,1873.084577,14,,,,,,
277,32.124999,16,,,,,,
278,1473.495809,19,,,,,,
279,1504.82705,19,,,,,,
280,7645.108427,18,,,,,,
281,1129.33758,6,,,,,,
282,668.956687,12,,,,,,
283,2302.184366,18,,,,,,
284,272.711518,17,,,,,,
285,4246.430225,10,,,,,,
286,2420.761135,2,,,,,,
287,2935.324966,8,,,,,,
288,83.148283,13,,,,,,
289,5469.851311,8,,,,,,
290,280.142117,17,,,,,,
291,5790.930626,2,,,,,,
292,3605.714046,3,,,,,,
293,3992.261885,10,,,,,,
294,41.833264,16,,,,,,
295,635.090434,12,,,,,,
296,1521.1681,19,,,,,,
297,5547.092593,3,,,,,,
298,2503.107213,2,,,,,,
299,191.450711,17,,,,,,
300,3621.70204,3,,,,,,
301,2762.479434,8,,,,,,
302,4338.606862,9,,,,,,
303,388.873921,5,,,,,,
304,9261.310686,8,,,,,,
305,208.131845,17,,,,,,
306,169.088238,17,,,,,,
307,133.911556,13,,,,,,
308,1613.34907,19,,,,,,
309,566.908563,15,,,,,,
310,53.208422,16,,,,,,
311,1329.967543,7,,,,,,
312,515.904786,15,,,,,,
313,927.041961,11,,,,,,
314,1872.767651,14,,,,,,
315,185.396312,17,,,,,,
316,4823.822993,9,,,,,,
317,994.105777,0,,,,,,
318,40.089221,16,,,,,,
319,0.478714,16,,,,,,
320,4732.37354,9,,,,,,
321,9206.811696,8,,,,,,
322,6719.376505,1,,,,,,
323,2233.074041,18,,,,,,
324,1867.649838,14,,,,,,
325,57.842746,16,,,,,,
326,4194.033835,10,,,,,,
327,2459.862339,2,,,,,,
328,850.630114,11,,,,,,
329,353.198215,5,,,,,,
330,2669.160638,8,,,,,,
331,92.440743,13,,,,,,
332,706.675991,12,,,,,,
333,361.319366,5,,,,,,
334,2324.086254,18,,,,,,
335,2922.487907,8,,,,,,
336,98.364739,13,,,,,,
337,498.208616,15,,,,,,
338,16.93339,16,,,,,,
339,3355.631092,1,,,,,,
340,907.982017,11,,,,,,
341,1132.386178,6,,,,,,
342,1254.6691,6,,,,,,
343,80.336636,13,,,,,,
344,260.838885,17,,,,,,
345,17.356961,16,,,,,,
346,1897.672025,14,,,,,,
347,1032.241153,0,,,,,,
348,3536.601227,3,,,,,,
349,21.580264,16,,,,,,
350,4211.539631,10,,,,,,
351,1732.715258,4,,,,,,
352,8939.461145,2,,,,,,
353,36.567901,16,,,,,,
354,41.754778,16,,,,,,
355,1937.246177,14,,,,,,
356,99.955082,13,,,,,,
357,5135.604593,0,,,,,,
358,214.896542,17,,,,,,
359,1543.287931,19,,,,,,
360,601.92037,12,,,,,,
361,1261.05733,6,,,,,,
362,85.285023,13,,,,,,
363,1903.688611,14,,,,,,
364,813.068705,11,,,,,,
365,1279.325142,7,,,,,,
366,237.669312,17,,,,,,
367,5747.761139,18,,,,,,
368,7760.940543,2,,,,,,
369,6388.108487,1,,,,,,
370,426.372628,15,,,,,,
371,8806.866629,18,,,,,,
372,282.934373,17,,,,,,
373,1128.229387,6,,,,,,
374,2045.541408,14,,,,,,
375,8.520292,16,,,,,,
376,11278.95243,18,,,,,,
377,143.443832,13,,,,,,
378,241.223955,17,,,,,,
379,1528.571561,19,,,,,,
380,12474.72954,9,,,,,,
381,566.147105,15,,,,,,
382,1077.606225,0,,,,,,
383,1.838084,16,,,,,,
384,507.144348,15,,,,,,
385,816.82453,11,,,,,,
386,1526.506915,19,,,,,,
387,7957.017218,10,,,,,,
388,79.189929,13,,,,,,
389,497.908027,15,,,,,,
390,681.95925,12,,,,,,
391,1535.248256,19,,,,,,
392,1508.513765,19,,,,,,
393,11209.37076,1,,,,,,
394,201.3504,17,,,,,,
395,2502.264409,2,,,,,,
396,4543.789386,9,,,,,,
397,918.342234,11,,,,,,
398,5066.744231,10,,,,,,
399,2259.431829,18,,,,,,
400,437.789873,15,,,,,,
401,2025.162877,14,,,,,,
402,3770.560441,3,,,,,,
403,140.730723,13,,,,,,
404,5523.999416,1,,,,,,
405,3298.692478,1,,,,,,
406,150.699542,13,,,,,,
407,1874.843394,14,,,,,,
408,3024.629054,1,,,,,,
409,154.641707,13,,,,,,
410,1322.057239,7,,,,,,
411,62.287137,16,,,,,,
412,16.581535,16,,,,,,
413,4664.023286,9,,,,,,
414,318.03434,5,,,,,,
415,681.615445,12,,,,,,
416,9335.31417,19,,,,,,
417,6404.955912,19,,,,,,
418,133.405494,13,,,,,,
419,1403.597712,7,,,,,,
420,469.878834,15,,,,,,
421,1452.437463,19,,,,,,
422,3737.175713,3,,,,,,
423,6032.740391,12,,,,,,
424,1692.755487,4,,,,,,
425,3534.253718,3,,,,,,
426,654.574445,12,,,,,,
427,1648.721384,4,,,,,,
428,6822.877573,10,,,,,,
429,8647.057641,3,,,,,,
430,5055.582822,3,,,,,,
431,4245.550244,10,,,,,,
432,541.915572,15,,,,,,
433,4855.340797,9,,,,,,
434,981.643409,0,,,,,,
435,7057.658848,14,,,,,,
436,4264.307261,10,,,,,,
437,4503.390811,9,,,,,,
438,969.294446,0,,,,,,
439,4479.115547,9,,,,,,
440,37.753941,16,,,,,,
441,7386.704481,3,,,,,,
442,1265.805627,6,,,,,,
443,598.78776,12,,,,,,
444,3143.928913,1,,,,,,
445,5580.530306,18,,,,,,
446,576.635957,15,,,,,,
447,51.818382,16,,,,,,
448,1036.595935,0,,,,,,
449,21.12921,16,,,,,,
450,1534.969344,19,,,,,,
451,4994.04832,10,,,,,,
452,4700.106602,9,,,,,,
453,9601.071318,9,,,,,,
454,1207.888199,6,,,,,,
455,87.442862,13,,,,,,
456,123.394089,13,,,,,,
457,395.052994,5,,,,,,
458,1715.459275,4,,,,,,
459,1492.039988,19,,,,,,
460,636.669685,12,,,,,,
461,223.772475,17,,,,,,
462,1122.603377,6,,,,,,
463,805.131074,11,,,,,,
464,869.001444,11,,,,,,
465,4458.055159,9,,,,,,
466,2070.069187,14,,,,,,
467,52.229659,16,,,,,,
468,6426.639738,19,,,,,,
469,206.596865,17,,,,,,
470,5810.748774,8,,,,,,
471,3872.605467,10,,,,,,
472,2597.400267,2,,,,,,
473,1481.43247,19,,,,,,
474,1135.53683,6,,,,,,
475,3430.981532,3,,,,,,
476,4102.599015,10,,,,,,
477,150.952465,13,,,,,,
478,3170.537693,1,,,,,,
479,911.281862,11,,,,,,
480,45.753138,16,,,,,,
481,456.648662,15,,,,,,
482,198.035504,17,,,,,,
483,473.840442,15,,,,,,
484,285.813075,5,,,,,,
485,204.329381,17,,,,,,
486,3690.177649,3,,,,,,
487,327.445978,5,,,,,,
488,6856.045926,8,,,,,,
489,155.644239,13,,,,,,
490,4263.008734,10,,,,,,
491,10249.71178,8,,,,,,
492,813.185305,11,,,,,,
493,911.893997,11,,,,,,
494,3563.23692,3,,,,,,
495,12478.17286,7,,,,,,
496,2061.27937,14,,,,,,
497,1556.376158,19,,,,,,
498,126.207012,13,,,,,,
499,2516.753364,2,,,,,,
500,1199.942209,6,,,,,,
501,13479.28821,0,,,,,,
502,80.062693,13,,,,,,
503,839.897907,11,,,,,,
504,128.175207,13,,,,,,
505,47.6368,16,,,,,,
506,1529.206464,19,,,,,,
507,2643.343414,8,,,,,,
508,2924.757622,8,,,,,,
509,5036.870531,10,,,,,,
510,32.042424,16,,,,,,
511,2549.128288,2,,,,,,
512,3718.606699,3,,,,,,
513,4914.325665,9,,,,,,
514,1191.584153,6,,,,,,
515,98.420888,13,,,,,,
516,1534.891604,19,,,,,,
517,675.117139,12,,,,,,
518,43.42718,16,,,,,,
519,1874.601636,14,,,,,,
520,15258.2259,7,,,,,,
521,4497.213951,9,,,,,,
522,986.149218,0,,,,,,
523,257.997181,17,,,,,,
524,4507.733288,9,,,,,,
525,1117.635883,6,,,,,,
526,5083.397311,1,,,,,,
527,3649.559565,3,,,,,,
528,77.45581,13,,,,,,
529,1362.418281,7,,,,,,
530,189.12074,17,,,,,,
531,2374.663583,2,,,,,,
532,1112.070216,6,,,,,,
533,2569.379868,2,,,,,,
534,2883.906333,8,,,,,,
535,71.046063,13,,,,,,
536,3366.051663,1,,,,,,
537,7190.047748,10,,,,,,
538,68.039722,13,,,,,,
539,5066.461251,1,,,,,,
540,2454.610005,2,,,,,,
541,64.329876,16,,,,,,
542,1284.63314,7,,,,,,
543,76.93561,13,,,,,,
544,950.563525,0,,,,,,
545,5178.179489,3,,,,,,
546,531.455619,15,,,,,,
547,263.6992,17,,,,,,
548,492.070146,15,,,,,,
549,1034.660626,0,,,,,,
550,11547.52001,14,,,,,,
551,8997.488544,1,,,,,,
552,9149.4096,14,,,,,,
553,1296.922119,7,,,,,,
554,1758.979585,4,,,,,,
555,194.493602,17,,,,,,
556,3294.37955,1,,,,,,
557,5404.202992,1,,,,,,
558,5484.800476,1,,,,,,
559,181.463092,17,,,,,,
560,1311.732049,7,,,,,,
561,542.218074,15,,,,,,
562,1029.101022,0,,,,,,
563,1202.975648,6,,,,,,
564,1095.379426,0,,,,,,
565,4546.766836,9,,,,,,
566,28.934197,16,,,,,,
567,3457.086184,3,,,,,,
568,23.290641,16,,,,,,
569,9559.783145,8,,,,,,
570,2154.175363,18,,,,,,
571,2627.184835,2,,,,,,
572,2689.586312,8,,,,,,
573,11.890862,16,,,,,,
574,3452.538704,3,,,,,,
575,1068.031748,0,,,,,,
576,7295.920263,9,,,,,,
577,7975.19143,3,,,,,,
578,1866.608592,14,,,,,,
579,259.467265,17,,,,,,
580,1298.191599,7,,,,,,
581,313.387813,5,,,,,,
582,7088.358802,3,,,,,,
583,4458.045588,9,,,,,,
584,2690.771926,8,,,,,,
585,15244.74865,1,,,,,,
586,0.327199,16,,,,,,
587,2492.726282,2,,,,,,
588,47.424621,16,,,,,,
589,4114.723127,10,,,,,,
590,2450.031338,2,,,,,,
591,8781.831676,13,,,,,,
592,1642.024936,4,,,,,,
593,2739.836747,8,,,,,,
594,1946.447038,14,,,,,,
595,9.962695,16,,,,,,
596,394.269079,5,,,,,,
597,5935.917803,10,,,,,,
598,266.588825,17,,,,,,
599,917.732846,11,,,,,,
600,3183.529482,1,,,,,,
601,2071.736764,14,,,,,,
602,6980.581442,3,,,,,,
603,724.261595,12,,,,,,
604,2469.665655,2,,,,,,
605,202.190447,17,,,,,,
606,6787.661776,3,,,,,,
607,107.298227,13,,,,,,
608,3946.876897,10,,,,,,
609,1246.393805,6,,,,,,
610,7155.328723,8,,,,,,
611,2147.939753,18,,,,,,
612,32.612745,16,,,,,,
613,5380.796813,3,,,,,,
614,3419.661676,3,,,,,,
615,8900.194109,8,,,,,,
616,837.950585,11,,,,,,
617,2113.098241,18,,,,,,
618,16.371699,16,,,,,,
619,3774.063585,3,,,,,,
620,1088.031913,0,,,,,,
621,2.175751,16,,,,,,
622,5248.392421,10,,,,,,
623,9.581344,16,,,,,,
624,3123.339488,1,,,,,,
625,1670.928797,4,,,,,,
626,537.389322,15,,,,,,
627,1803.955439,4,,,,,,
628,2394.126386,2,,,,,,
629,544.879717,15,,,,,,
630,288.474257,5,,,,,,
631,1434.097191,7,,,,,,
632,79.554406,13,,,,,,
633,2134.513436,18,,,,,,
634,4925.502001,9,,,,,,
635,62.32157,16,,,,,,
636,1062.752143,0,,,,,,
637,5347.377116,8,,,,,,
638,8.555864,16,,,,,,
639,164.649775,17,,,,,,
640,299.765294,5,,,,,,
641,3725.636832,3,,,,,,
642,306.877248,5,,,,,,
643,14411.95798,0,,,,,,
644,1759.969888,4,,,,,,
645,1482.235539,19,,,,,,
646,6014.806806,10,,,,,,
647,5619.157028,10,,,,,,
648,365.12275,5,,,,,,
649,1728.079372,4,,,,,,
650,1043.249828,0,,,,,,
651,2571.925816,2,,,,,,
652,7760.5254,5,,,,,,
653,61.644247,16,,,,,,
654,0,16,,,,,,
655,1724.2041,4,,,,,,
656,558.989996,15,,,,,,
657,15.728894,16,,,,,,
658,3808.073463,3,,,,,,
659,28.394518,16,,,,,,
660,2515.968879,2,,,,,,
661,408.069031,5,,,,,,
662,975.165854,0,,,,,,
663,879.190921,11,,,,,,
664,2331.38017,18,,,,,,
665,27.20711,16,,,,,,
666,1418.254924,7,,,,,,
667,1.979916,16,,,,,,
668,331.586253,5,,,,,,
669,10359.45471,1,,,,,,
670,2144.477682,18,,,,,,
671,2927.082849,8,,,,,,
672,654.747715,12,,,,,,
673,1162.770552,6,,,,,,
674,4094.433899,10,,,,,,
675,278.142977,17,,,,,,
676,5941.847384,1,,,,,,
677,983.339069,0,,,,,,
678,820.05973,11,,,,,,
679,7025.757291,18,,,,,,
680,1.411754,16,,,,,,
681,5656.069801,18,,,,,,
682,2705.591995,8,,,,,,
683,235.294264,17,,,,,,
684,3472.806962,3,,,,,,
685,2892.138807,8,,,,,,
686,145.973232,13,,,,,,
687,1943.792266,14,,,,,,
688,2119.537904,18,,,,,,
689,233.395491,17,,,,,,
690,318.186198,5,,,,,,
691,448.190189,15,,,,,,
692,908.354652,11,,,,,,
693,546.844163,15,,,,,,
694,763.327047,12,,,,,,
695,1495.801569,19,,,,,,
696,7006.751866,10,,,,,,
697,4414.952906,9,,,,,,
698,255.052529,17,,,,,,
699,1167.045536,6,,,,,,
700,3063.017462,1,,,,,,
701,1546.216153,19,,,,,,
702,999.392635,0,,,,,,
703,3386.99251,3,,,,,,
704,963.572006,0,,,,,,
705,454.580913,15,,,,,,
706,2572.508325,2,,,,,,
707,2596.59993,2,,,,,,
708,13763.47358,8,,,,,,
709,1861.026633,14,,,,,,
710,5422.456378,19,,,,,,
711,838.616485,11,,,,,,
712,446.735142,15,,,,,,
713,88.823762,13,,,,,,
714,821.916526,11,,,,,,
715,3714.539663,3,,,,,,
716,7811.234174,2,,,,,,
717,1024.761905,0,,,,,,
718,2386.932058,2,,,,,,
719,15.492415,16,,,,,,
720,2643.876192,8,,,,,,
721,4881.822347,9,,,,,,
722,1855.212121,14,,,,,,
723,13774.74154,10,,,,,,
724,251.151609,17,,,,,,
725,1355.180523,7,,,,,,
726,6713.551391,1,,,,,,
727,2398.26262,2,,,,,,
728,1433.857464,7,,,,,,
729,142.406825,13,,,,,,
730,660.397749,12,,,,,,
731,4834.586867,9,,,,,,
732,2571.284657,2,,,,,,
733,492.916599,15,,,,,,
734,2752.146656,8,,,,,,
735,7715.659048,14,,,,,,
736,0.25571,16,,,,,,
737,95.865855,13,,,,,,
738,1439.343061,7,,,,,,
739,5603.045332,10,,,,,,
740,1.691842,16,,,,,,
741,83.279345,13,,,,,,
742,1157.168369,6,,,,,,
743,1560.533094,19,,,,,,
744,1575.508838,19,,,,,,
745,1544.979869,19,,,,,,
746,1350.286625,7,,,,,,
747,1261.488342,6,,,,,,
748,1274.851959,7,,,,,,
749,1646.715644,4,,,,,,
750,3121.267822,1,,,,,,
751,3406.473855,3,,,,,,
752,4006.206157,10,,,,,,
753,915.424422,11,,,,,,
754,4193.283047,10,,,,,,
755,10397.09989,1,,,,,,
756,2830.364475,8,,,,,,
757,5499.895765,2,,,,,,
758,815.427615,11,,,,,,
759,756.041971,12,,,,,,
760,5271.415483,10,,,,,,
761,23.276656,16,,,,,,
762,5639.464394,1,,,,,,
763,5308.90635,3,,,,,,
764,62.209376,16,,,,,,
765,2052.32561,14,,,,,,
766,56.720267,16,,,,,,
767,1121.068043,6,,,,,,
768,9470.18498,1,,,,,,
769,2388.503738,2,,,,,,
770,1955.179305,14,,,,,,
771,432.915949,15,,,,,,
772,2027.896903,14,,,,,,
773,1252.58309,6,,,,,,
774,1822.43199,4,,,,,,
775,1557.750089,19,,,,,,
776,3879.064446,10,,,,,,
777,708.509086,12,,,,,,
778,2748.60877,8,,,,,,
779,4343.537475,9,,,,,,
780,8646.143734,1,,,,,,
781,90.445498,13,,,,,,
782,9164.724752,1,,,,,,
783,298.592251,5,,,,,,
784,88.242406,13,,,,,,
785,14.731998,16,,,,,,
786,5211.229218,8,,,,,,
787,835.007085,11,,,,,,
788,2302.479845,18,,,,,,
789,1782.997768,4,,,,,,
790,2435.823938,2,,,,,,
791,10.096031,16,,,,,,
792,1524.409377,19,,,,,,
793,1819.529197,4,,,,,,
794,4.607593,16,,,,,,
795,644.530629,12,,,,,,
796,147.180819,13,,,,,,
797,197.555397,17,,,,,,
798,1716.622291,4,,,,,,
799,26.680023,16,,,,,,
800,5359.980872,8,,,,,,
801,772.54691,11,,,,,,
802,83.477053,13,,,,,,
803,2654.816967,8,,,,,,
804,81.762162,13,,,,,,
805,1373.277423,7,,,,,,
806,1773.445786,4,,,,,,
807,227.07351,17,,,,,,
808,155.924331,13,,,,,,
809,4767.644535,9,,,,,,
810,2574.852985,2,,,,,,
811,3405.005439,3,,,,,,
812,3517.561446,3,,,,,,
813,1748.546186,4,,,,,,
814,4.503251,16,,,,,,
815,2717.915641,8,,,,,,
816,1841.359829,14,,,,,,
817,1399.729932,7,,,,,,
818,674.817091,12,,,,,,
819,2406.569238,2,,,,,,
820,285.308422,5,,,,,,
821,1011.110679,0,,,,,,
822,1358.890643,7,,,,,,
823,1392.773202,7,,,,,,
824,487.584965,15,,,,,,
825,1892.439622,14,,,,,,
826,3957.419199,10,,,,,,
827,920.968431,11,,,,,,
828,227.781773,17,,,,,,
829,4270.148411,10,,,,,,
830,4115.739163,10,,,,,,
831,1375.845223,7,,,,,,
832,1300.593766,7,,,,,,
833,1437.895562,7,,,,,,
834,1304.357015,7,,,,,,
835,1372.725482,7,,,,,,
836,938.177781,11,,,,,,
837,129.3741,13,,,,,,
838,161.198861,13,,,,,,
839,825.977042,11,,,,,,
840,230.359954,17,,,,,,
841,3616.993845,3,,,,,,
842,8220.740014,16,,,,,,
843,4438.521324,9,,,,,,
844,2210.404961,18,,,,,,
845,2315.003636,18,,,,,,
846,1255.779743,6,,,,,,
847,62.596086,16,,,,,,
848,5280.649637,1,,,,,,
849,170.907823,17,,,,,,
850,1271.212003,7,,,,,,
851,11083.32542,10,,,,,,
852,992.599867,0,,,,,,
853,10131.00055,2,,,,,,
854,4419.30294,9,,,,,,
855,2173.621597,18,,,,,,
856,9901.685569,1,,,,,,
857,2320.309453,18,,,,,,
858,910.072514,11,,,,,,
859,1374.460976,7,,,,,,
860,0,16,,,,,,
861,268.493643,17,,,,,,
862,1827.200326,4,,,,,,
863,1029.66874,0,,,,,,
864,993.533549,0,,,,,,
865,3150.679884,1,,,,,,
866,11654.55492,2,,,,,,
867,1254.970145,6,,,,,,
868,2174.018945,18,,,,,,
869,1076.029456,0,,,,,,
870,1444.365154,7,,,,,,
871,2767.545277,8,,,,,,
